X, Z, Y
2.222,1.000,-40.694
2.222,10.000,-40.694
2.500,10.000,-40.417
3.333,10.000,-40.417
3.611,10.000,-40.694
6.944,10.000,-40.694
7.222,10.000,-40.972
16.667,10.000,-40.972
16.944,10.000,-40.694
17.778,10.000,-40.694
18.056,10.000,-40.972
18.056,10.000,-41.250
17.778,10.000,-41.528
16.944,10.000,-41.528
16.667,10.000,-41.806
7.500,10.000,-41.806
7.222,10.000,-41.528
4.722,10.000,-41.528
4.444,10.000,-41.250
2.778,10.000,-41.250
2.778,1.000,-41.250
3.333,1.000,-40.417
3.333,10.000,-40.417
3.611,10.000,-40.694
6.944,10.000,-40.694
7.222,10.000,-40.972
16.667,10.000,-40.972
16.944,10.000,-40.694
18.056,10.000,-40.694
18.056,10.000,-41.528
16.944,10.000,-41.528
16.667,10.000,-41.806
7.500,10.000,-41.806
7.222,10.000,-41.528
4.444,10.000,-41.528
4.167,10.000,-41.250
2.500,10.000,-41.250
2.222,10.000,-40.972
1.944,10.000,-40.972
2.222,10.000,-40.694
1.944,10.000,-40.417
1.944,1.000,-40.417
-4.167,1.000,-37.361
-4.167,10.000,-37.361
-3.889,10.000,-37.639
-2.500,10.000,-37.639
-2.222,10.000,-37.917
-1.111,10.000,-37.917
-0.833,10.000,-38.194
0.833,10.000,-38.194
1.111,10.000,-38.472
1.944,10.000,-38.472
1.944,10.000,-39.028
-0.556,10.000,-39.028
-0.833,10.000,-38.750
-2.222,10.000,-38.750
-2.500,10.000,-38.472
-3.889,10.000,-38.472
-4.167,10.000,-38.194
-5.278,10.000,-38.194
-5.556,10.000,-37.917
-6.389,10.000,-37.917
-6.389,10.000,-37.361
-6.389,1.000,-37.361
-6.389,1.000,-37.639
-6.389,10.000,-37.639
-6.111,10.000,-37.361
-4.167,10.000,-37.361
-3.889,10.000,-37.639
-2.500,10.000,-37.639
-2.222,10.000,-37.917
-1.111,10.000,-37.917
-0.833,10.000,-38.194
0.833,10.000,-38.194
1.111,10.000,-38.472
1.667,10.000,-38.472
1.944,10.000,-38.750
1.667,10.000,-39.028
-0.556,10.000,-39.028
-0.833,10.000,-38.750
-2.222,10.000,-38.750
-2.500,10.000,-38.472
-3.889,10.000,-38.472
-4.167,10.000,-38.194
-5.000,10.000,-38.194
-5.278,10.000,-37.917
-6.111,10.000,-37.917
-6.111,1.000,-37.917
-10.278,1.000,-38.194
-10.278,10.000,-38.194
-10.000,10.000,-38.472
-8.889,10.000,-38.472
-8.611,10.000,-38.750
-7.500,10.000,-38.750
-7.222,10.000,-39.028
-5.833,10.000,-39.028
-5.556,10.000,-39.306
-4.167,10.000,-39.306
-3.889,10.000,-39.583
-2.500,10.000,-39.583
-2.222,10.000,-39.861
-0.556,10.000,-39.861
-0.278,10.000,-40.139
0.556,10.000,-40.139
0.556,10.000,-40.694
-2.222,10.000,-40.694
-2.500,10.000,-40.417
-4.167,10.000,-40.417
-4.444,10.000,-40.139
-5.556,10.000,-40.139
-5.833,10.000,-39.861
-7.222,10.000,-39.861
-7.500,10.000,-39.583
-8.333,10.000,-39.583
-8.611,10.000,-39.306
-9.722,10.000,-39.306
-10.000,10.000,-39.028
-10.833,10.000,-39.028
-11.111,10.000,-38.750
-11.667,10.000,-38.750
-11.389,10.000,-38.472
-11.667,10.000,-38.194
-11.667,1.000,-38.194
-11.389,1.000,-38.472
-11.389,10.000,-38.472
-11.111,10.000,-38.194
-10.278,10.000,-38.194
-10.000,10.000,-38.472
-8.889,10.000,-38.472
-8.611,10.000,-38.750
-7.500,10.000,-38.750
-7.222,10.000,-39.028
-5.833,10.000,-39.028
-5.556,10.000,-39.306
-4.167,10.000,-39.306
-3.889,10.000,-39.583
-2.500,10.000,-39.583
-2.222,10.000,-39.861
-0.556,10.000,-39.861
-0.278,10.000,-40.139
0.278,10.000,-40.139
0.556,10.000,-40.417
0.278,10.000,-40.694
-2.222,10.000,-40.694
-2.500,10.000,-40.417
-4.167,10.000,-40.417
-4.444,10.000,-40.139
-5.556,10.000,-40.139
-5.833,10.000,-39.861
-7.222,10.000,-39.861
-7.500,10.000,-39.583
-8.333,10.000,-39.583
-8.611,10.000,-39.306
-9.722,10.000,-39.306
-10.000,10.000,-39.028
-10.556,10.000,-39.028
-10.833,10.000,-38.750
-11.111,10.000,-38.750
-11.111,1.000,-38.750
-13.333,1.000,-35.694
-13.333,10.000,-35.694
-13.056,10.000,-35.972
-12.222,10.000,-35.972
-11.944,10.000,-36.250
-11.389,10.000,-36.250
-11.111,10.000,-36.528
-10.278,10.000,-36.528
-10.000,10.000,-36.806
-9.167,10.000,-36.806
-8.889,10.000,-37.083
-8.611,10.000,-37.083
-8.889,10.000,-37.361
-8.611,10.000,-37.639
-9.722,10.000,-37.639
-10.000,10.000,-37.361
-11.111,10.000,-37.361
-11.389,10.000,-37.083
-11.944,10.000,-37.083
-12.222,10.000,-36.806
-13.056,10.000,-36.806
-13.333,10.000,-36.528
-14.167,10.000,-36.528
-14.444,10.000,-36.250
-15.000,10.000,-36.250
-15.000,10.000,-35.694
-15.000,1.000,-35.694
-15.000,1.000,-35.972
-15.000,10.000,-35.972
-14.722,10.000,-35.694
-13.333,10.000,-35.694
-13.056,10.000,-35.972
-12.222,10.000,-35.972
-11.944,10.000,-36.250
-11.389,10.000,-36.250
-11.111,10.000,-36.528
-10.278,10.000,-36.528
